id,env,block,vine.maturity,skin.maturity
W15268-6R,2018,3,9,1.05
W15268-117R,2018,1,6,1.05
W15268-36R,2018,1,7,1.05
W15277-32R,2018,1,4,1.05
W15277B-1R,2018,4,5,1.05
W15268-116R,2018,2,9,1.05
W15267-45R,2018,1,7,1.04
W14138-58R,2018,1,7,1.04
W15277B-30R,2018,4,8,1.04
W15268-198R,2018,4,5,1.03
W15263-31R,2018,4,4,1.03
W15267-72R,2018,1,4,1.03
W15268-8R,2018,1,3,1.03
W15268-51R,2018,2,5,1.03
W15277B-37R,2018,4,5,1.03
AFW6052-28R,2017,3,3,1.03
W15268-91R,2018,4,6,1.02
W15268-104R,2018,3,4,1.02
AFW6045-1R,2017,3,2,1.02
W15277B-60R,2018,2,2,1.02
W15267-176R,2018,3,6,1.02
W15277B-33R,2018,2,6,1.01
W15267-35R,2018,3,5,1.01
W14141-15R,2017,2,6,1.01
W15267-46R,2018,1,8,1.01
W15267-171R,2018,4,2,1.01
W15267-77R,2018,4,4,1
W15267-212R,2018,1,4,1
W15261-20R,2018,1,7,0.99
W15268-231R,2018,2,2,0.99
W15263-78R,2018,3,5,0.99
W15268-6R,2018,1,6,0.98
AFW6052-9R,2017,3,1,0.98
AFW6041-2R,2018,1,7,0.97
W15268-17R,2018,4,5,0.97
W15267-186R,2018,4,2,0.97
W15268-77R,2018,2,5,0.97
W15277B-14R,2018,2,8,0.97
W15267-202R,2018,3,8,0.97
W15267-205R,2018,4,5,0.97
W15268-109R,2018,1,6,0.96
W15268-203R,2018,3,5,0.96
W14141-7R,2017,2,3,0.96
W15277B-8R,2018,3,6,0.96
AFW6052-4R,2017,2,3,0.96
RedEndeavor,2017,1,3,0.96
W15263-42R,2018,4,4,0.95
W15277-25R,2018,3,3,0.95
W14133-20R,2017,3,4,0.94
RedEndeavor,2017,2,5,0.94
W15267-81R,2018,4,3,0.94
W15277B-62R,2018,3,8,0.94
W15267-12R,2018,1,1,0.94
W15277B-12R,2018,3,3,0.94
W15263-36R,2018,1,5,0.93
W10209-2R,2018,4,3,0.92
W15277B-29R,2018,2,8,0.92
AFW6052-38R,2017,1,3,0.92
W15267-79R,2018,1,3,0.92
W15277-3R,2018,1,7,0.92
W15267-110R,2018,3,6,0.92
W14138-49R,2017,3,5,0.92
W15268-148R,2018,3,7,0.91
W15268-127R,2018,3,3,0.91
W15268-107R,2018,4,5,0.9
W15263-65R,2018,4,3,0.9
W15277B-20R,2018,2,5,0.9
W15268-139R,2018,3,5,0.9
W15267-10R,2018,2,7,0.89
W15268-235R,2018,2,8,0.89
W15268-5R,2018,2,8,0.89
W15263-18R,2018,1,2,0.88
W15261-6R,2018,2,5,0.88
W15267-136R,2018,3,7,0.88
W15268-221R,2018,4,5,0.88
AFW6051-4R,2018,4,7,0.87
W15267-157R,2018,2,4,0.87
W15268-132R,2018,2,9,0.87
W14138-44R,2017,1,4,0.87
AFW6039-8R,2018,3,4,0.86
W15268-224R,2018,2,4,0.85
W15267-142R,2018,3,6,0.85
W15267-219R,2018,1,1,0.84
W15261-24R,2018,2,4,0.83
W15267-222R,2018,2,5,0.83
W15263-43R,2018,4,8,0.83
W15267-226R,2018,4,5,0.83
W15263-41R,2018,1,3,0.83
W15267-20R,2018,2,6,0.82
W15268-142R,2018,1,9,0.82
